metro_name;uci_index_urban;uci_index_iware;moran_poi;moran_len;moran_urban;moran_ware;moran_price;moran_ware_intensity;moran_price_intensity;pop_2000;pop_2015;area;municipalities;year_t0;year_t1;time;number_ware_t0;average_distance_ware_gravity_t0;number_ware_t1;average_distance_ware_gravity_t1;log_sprawl;u_HH;u_HL;u_LH;u_LL;u_NS;cw_HH;cw_HL;cw_LH;cw_LL;cw_NS;pw_HH;pw_HL;pw_LH;pw_LL;pw_NS;log_sprawl_
las_vegas;0,193;0,351;0,447;0,826;0,809;0,265;0,489;0,265;0,489;23541;22513;20889;1;2003;2013;10;51;10,73;80;20,54;Yes;0,0591085271317829;0,000000000000000000;0,000000000000000000;0,0968992248062016;0,843992248062015;0,01453488372093023;0,000000000000000000;0,00968992248062015;0,2160852713178295;0,759689922480620;0,01647286821705427;0,000968992248062015;0,0155038759689922;0,5155038759689923;0,451550387596899;1
los_angeles;0,172;0,293;0,454;0,835;0,794;0,335;0,518;0,335;0,518;12365597;13234696;14761;2;1998;2009;11;220;41,69;515;51,44;Yes;0,1901041666666667;0,000000000000000000;0,000000000000000000;0,1744791666666667;0,635416666666667;0,05468750000000000;0,001302083333333333;0,01562500000000000;0,2565104166666667;0,671875000000000;0,09765625000000000;0,002604166666666667;0,0325520833333333;0,2669270833333333;0,600260416666667;1
louisville;0,120;0,343;0,521;0,794;0,747;0,217;0,160;0,217;0,160;1135588;1244745;9464;12;2003;2013;10;81;17,51;89;17,19;Not;0,0747474747474747;0,000000000000000000;0,000000000000000000;0,0888888888888889;0,836363636363636;0,01212121212121212;0,006060606060606061;0,02424242424242424;0,3757575757575757;0,581818181818182;0,01616161616161616;0,006060606060606061;0,0323232323232323;0,4484848484848485;0,496969696969697;0
miami;0,207;0,326;0,626;0,827;0,804;0,382;0,449;0,382;0,449;5007956;5969135;16245;3;2003;2013;10;193;40,64;235;46,54;Yes;0,1612121212121212;0,000000000000000000;0,000000000000000000;0,2266666666666667;0,612121212121212;0,01333333333333333;0,001212121212121212;0,00969696969696970;0,2727272727272727;0,703030303030303;0,06424242424242424;0,002424242424242424;0,0412121212121212;0,4363636363636363;0,455757575757576;1
milwaukee;0,208;0,337;0,093;0,793;0,663;0,437;0,377;0,437;0,377;1401336;1459422;8798;4;2003;2013;10;101;23,74;98;30,98;Yes;0,0903083700440529;0,000000000000000000;0,002202643171806168;0,3171806167400881;0,590308370044053;0,03083700440528634;0,000000000000000000;0,02863436123348018;0,3634361233480176;0,577092511013216;0,04405286343612335;0,000000000000000000;0,0440528634361234;0,4647577092511013;0,447136563876652;1
montreal;0,146;0,346;0,423;0,663;0,653;0,305;0,007;0,305;0,007;1310957;1459453;4776;40;2002;2012;10;79;8,80;70;9,10;Yes;0,1023102310231023;0,000000000000000000;0,003300330033003300;0,0693069306930693;0,825082508250825;0,01980198019801980;0,003300330033003300;0,02310231023102310;0,3630363036303630;0,590759075907591;0,01650165016501650;0,000000000000000000;0,0231023102310231;0,5544554455445545;0,405940594059406;1
nashville;0,105;0,345;0,414;0,708;0,651;0,179;0,151;0,179;0,151;512532;559425;16526;14;2003;2013;10;116;28,29;121;30,37;Yes;0,0685579196217494;0,000000000000000000;0,000000000000000000;0,1122931442080378;0,819148936170213;0,00945626477541371;0,002364066193853428;0,02009456264775414;0,3522458628841608;0,615839243498818;0,01063829787234043;0,003546099290780142;0,0390070921985816;0,4278959810874705;0,518912529550827;1
new_orleans;0,260;0,355;0,485;0,743;0,724;0,178;0,239;0,178;0,239;1337740;1260281;20541;8;2003;2013;10;77;19,44;83;29,89;Yes;0,0474383301707780;0,000000000000000000;0,001897533206831120;0,1963946869070209;0,754269449715370;0,00474383301707780;0,000000000000000000;0,01328273244781784;0,3254269449715370;0,656546489563567;0,00569259962049336;0,000000000000000000;0,0189753320683112;0,5351043643263758;0,440227703984820;1
new_york;0,144;0,295;0,545;0,803;0,798;0,445;0,435;0,445;0,435;14983782;16118232;28500;25;2003;2013;10;938;41,78;914;45,05;Yes;0,1358609794628752;0,000789889415481833;0,002369668246445498;0,1840442338072670;0,676935229067930;0,04818325434439179;0,003949447077409162;0,01026856240126382;0,2030015797788310;0,734597156398104;0,06240126382306477;0,006319115323854660;0,0244865718799368;0,2575039494470774;0,649289099526066;1
orlando;0,161;0,330;0,423;0,774;0,716;0,407;0,331;0,407;0,331;3442581;3985594;10512;4;2003;2013;10;75;19,70;91;19,33;Not;0,1335740072202166;0,000000000000000000;0,001805054151624549;0,1317689530685921;0,732851985559567;0,03068592057761733;0,005415162454873646;0,02166064981949458;0,3880866425992780;0,554151624548736;0,03610108303249097;0,007220216606498195;0,0379061371841155;0,3194945848375451;0,599277978339350;0
paris;0,118;0,277;0,667;0,829;0,828;0,480;0,584;0,480;0,584;11360000;11900000;12012;131;2004;2012;8;713;17,40;955;21,50;Yes;0,1144674085850556;0,000000000000000000;0,000000000000000000;0,1240063593004769;0,761526232114467;0,06836248012718601;0,001589825119236884;0,01589825119236884;0,1558028616852146;0,758346581875994;0,10810810810810811;0,003179650238473768;0,0095389507154213;0,1780604133545310;0,701112877583466;1
philadelphia;0,116;0,309;0,481;0,722;0,700;0,320;0,187;0,320;0,187;4264068;4564258;12717;11;2003;2013;10;288;33,89;340;35,90;Yes;0,0991869918699187;0,000000000000000000;0,003252032520325203;0,1317073170731707;0,765853658536585;0,04227642276422764;0,014634146341463415;0,01300813008130081;0,2406504065040651;0,689430894308943;0,03577235772357724;0,004878048780487805;0,0260162601626016;0,2504065040650407;0,682926829268293;1
phoenix;0,175;0,345;0,654;0,864;0,852;0,363;0,412;0,363;0,412;3251884;4578519;37834;2;1998;2015;17;41;17,86;183;20,60;Yes;0,0775488069414317;0,000000000000000000;0,000000000000000000;0,1377440347071583;0,784707158351410;0,01843817787418655;0,001084598698481562;0,01084598698481562;0,1919739696312364;0,777657266811280;0,02765726681127983;0,001626898047722343;0,0314533622559653;0,4685466377440347;0,470715835140998;1
pittisburg;0,111;0,329;0,509;0,744;0,701;0,186;0,185;0,186;0,185;1787955;1711755;13975;7;2003;2013;10;92;25,60;98;27,63;Yes;0,0691562932226833;0,001383125864453665;0,002766251728907331;0,1009681881051176;0,825726141078838;0,01936376210235131;0,011065006915629323;0,04011065006915630;0,3554633471645920;0,573997233748271;0,01659751037344398;0,006915629322268326;0,0262793914246196;0,3347164591977870;0,615491009681881;1
portland;0,102;0,341;0,239;0,759;0,727;0,505;0,449;0,505;0,449;1161090;1365871;18352;7;2003;2013;10;160;24,43;163;25,64;Yes;0,0821052631578947;0,001052631578947368;0,000000000000000000;0,0684210526315790;0,848421052631579;0,02421052631578947;0,002105263157894737;0,01368421052631579;0,3126315789473684;0,647368421052632;0,03473684210526316;0,002105263157894737;0,0252631578947368;0,4105263157894737;0,527368421052632;1
raleigh;0,142;0,330;0,507;0,768;0,705;0,120;0,188;0,120;0,188;781161;1238938;5563;3;2003;2013;10;76;31,16;77;31,30;Not;0,1066666666666667;0,000000000000000000;0,003333333333333334;0,1166666666666667;0,773333333333333;0,01666666666666667;0,010000000000000000;0,02666666666666667;0,3000000000000000;0,646666666666667;0,02333333333333333;0,010000000000000000;0,0466666666666667;0,2333333333333333;0,686666666666667;0
richmond;0,093;0,348;0,400;0,699;0,651;0,249;0,147;0,249;0,147;990282;1186339;12204;17;2003;2013;10;58;18,83;87;20,28;Yes;0,0796875000000000;0,001562500000000000;0,000000000000000000;0,0546875000000000;0,864062500000000;0,00937500000000000;0,012500000000000001;0,01093750000000000;0,3218750000000000;0,645312500000000;0,01093750000000000;0,007812500000000000;0,0218750000000000;0,3437500000000000;0,615625000000000;1
rochester;0,157;0,347;0,539;0,823;0,769;0,355;0,260;0,355;0,260;259409;263632;13891;6;2003;2013;10;45;25,88;48;25,31;Not;0,0514603616133519;0,000000000000000000;0,001390820584144645;0,2976356050069541;0,649513212795549;0,01390820584144645;0,005563282336578581;0,01390820584144645;0,3379694019471488;0,628650904033380;0,01529902642559110;0,002781641168289291;0,0264255910987483;0,3963838664812239;0,559109874826147;0
